School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,lat,lon
University of Wisconsin (UW) - Platteville,Midwestern,"$45,800.00","$78,500.00","$48,400.00","$61,200.00","$100,000.00","$139,000.00",42.73085395,-90.49514462922993
Wittenberg University,Midwestern,"$39,200.00","$78,200.00",,"$54,100.00","$131,000.00",,39.9351075,-83.81305544869264
North Dakota State University (NDSU),Midwestern,"$45,100.00","$77,800.00","$39,000.00","$55,800.00","$100,000.00","$123,000.00",46.897155,-96.81826543221285
Grinnell College,Midwestern,"$42,600.00","$76,600.00",,"$65,100.00","$116,000.00",,41.75111985,-92.71984863278584
Wayne State University,Midwestern,"$42,800.00","$76,100.00","$40,100.00","$56,200.00","$101,000.00","$139,000.00",42.35720515,-83.07094978691399
University of Toledo,Midwestern,"$43,100.00","$75,900.00","$40,100.00","$54,100.00","$100,000.00","$133,000.00",41.6848027,-83.7456287
University of Wisconsin (UW) - Whitewater,Midwestern,"$40,800.00","$75,500.00","$38,200.00","$53,500.00","$99,300.00","$150,000.00",42.84435955,-88.74366642884807
Minnesota State University - Mankato,Midwestern,"$43,300.00","$74,700.00","$39,500.00","$53,800.00","$95,700.00","$140,000.00",44.1453537,-93.99775246558295
University of Wisconsin (UW) - Milwaukee,Midwestern,"$42,300.00","$74,600.00","$40,600.00","$54,000.00","$93,700.00","$123,000.00",43.077639000000005,-87.88194245036574
Western Michigan University (WMU),Midwestern,"$42,300.00","$73,800.00","$40,100.00","$52,500.00","$103,000.00","$135,000.00",,
South Dakota State University (SDSU),Midwestern,"$41,100.00","$73,500.00","$34,100.00","$49,900.00","$99,400.00","$129,000.00",,
Ohio University,Midwestern,"$42,200.00","$73,400.00","$36,600.00","$52,800.00","$106,000.00","$150,000.00",39.32300405,-82.10267681533172
Illinois State University,Midwestern,"$42,000.00","$73,400.00","$39,100.00","$55,200.00","$105,000.00","$142,000.00",40.51799375,-89.00846070697986
Cleveland State University,Midwestern,"$43,500.00","$73,100.00","$39,500.00","$51,600.00","$97,000.00","$137,000.00",41.50214445,-81.67516704866894
University of Nebraska at Omaha,Midwestern,"$41,500.00","$72,600.00","$39,500.00","$54,400.00","$97,400.00","$126,000.00",41.257793250000006,-96.01049708374254
Southern Illinois University Carbondale,Midwestern,"$43,000.00","$72,500.00","$38,300.00","$51,300.00","$99,300.00","$139,000.00",37.7083423,-89.22755559722675
Eastern Michigan University,Midwestern,"$40,300.00","$72,100.00","$37,900.00","$52,800.00","$95,400.00","$135,000.00",42.25224625,-83.6245615218778
Bowling Green State University,Midwestern,"$39,800.00","$72,100.00","$38,200.00","$51,800.00","$101,000.00","$146,000.00",41.3795005,-83.6297890246625
St. Cloud State University,Midwestern,"$41,800.00","$71,400.00","$38,700.00","$49,400.00","$101,000.00","$126,000.00",45.54781165,-94.15122845517467
University of Wisconsin (UW) - Parkside,Midwestern,"$40,700.00","$71,400.00","$40,900.00","$53,100.00","$84,900.00","$119,000.00",42.6468292,-87.85040546563803
University of Akron,Midwestern,"$41,100.00","$70,300.00","$40,600.00","$53,300.00","$95,200.00","$127,000.00",41.07573825,-81.51145320375983
Missouri State University (MSU),Midwestern,"$36,100.00","$69,500.00","$33,300.00","$46,900.00","$102,000.00","$134,000.00",,
University of Wisconsin (UW) - La Crosse,Midwestern,"$42,200.00","$69,300.00","$37,500.00","$47,200.00","$93,100.00","$133,000.00",43.8156316,-91.2314610845199
